,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
0,Activity_Level_statcov_target_act_drone_strike_on_ua_binary,50269.80748102418,50935.449666297995,50887.80422187038,50178.05909665055,50142.282698825,49624.93963432568,50547.23398033588,50369.36811133281,402954.9448906625
1,rolling_rsum14_14_act_total_daily_strike_events_pastcov_lag-1,6952.7543815867975,5155.166449055076,5188.422070579603,5220.623059421778,5186.980415821075,1047.4959409236908,4741.179801046848,4784.660302633552,38277.28242106842
2,rolling_rsum14_14_fin_usd_rub_rate_pastcov_lag-1,1290.5019680857658,5005.6918978095055,524.3429468479007,3509.812219486572,3726.0858455635607,2316.2348363166675,2495.31758698076,2695.426757298676,21563.414058389408
3,ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-1,2219.5831971946172,1778.3781768316403,2402.899508197792,2120.6497466843575,2189.578154359944,2421.0036802937393,3065.79382791277,2313.98375592498,18511.87004739984
4,ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,1891.7366861430928,2823.8762607767712,2430.138324311003,2200.1187996745284,2049.0551821792033,2020.260217181407,2562.852272823686,2282.5768204413844,18260.614563531075
5,region_statcov_target_act_drone_strike_on_ua_binary,2268.439922273159,2511.476952586323,2291.10704433918,2130.988618299365,1927.0973477307707,1811.4055390357971,1618.1761025190353,2079.8130752548045,16638.504602038436
6,ewm_ewma14_act_total_daily_strike_events_pastcov_lag-1,397.47733932733536,197.49211926199496,762.6933102607727,1143.153329372406,280.3777676820755,7367.6343437223695,4056.8326560985297,2029.3801236750692,16235.040989400553
7,ewm_ewma14_act_drone_infra_ua_health_intent_pastcov_lag-1,2135.0421258211136,1954.2134673595428,1921.6340494155884,1787.5916600227356,1899.9021784411743,1612.4303283691406,1233.065781533718,1791.9827987090018,14335.862389672015
8,ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-1,1668.3992455070838,1025.0635092407465,886.3554178513587,1394.8430361980572,2252.173021748662,1910.0864550322294,1663.3940102905035,1542.902099409806,12343.216795278448
9,ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,1599.1793007082306,1600.4412526214728,1409.0787995699793,1355.8625516341635,1168.4484912478365,1007.9261998981237,986.6971760960296,1303.9476816822623,10431.581453458099
