Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,mean_gain
Activity_Level_statcov_target_act_drone_strike_on_ua_binary,27967.801533699036,28345.59461402893,28059.08117580414,27779.64000606537,28111.053016662598,28056.04963684082,28279.0882396698,28085.472603252954
rolling_rmean28_28_fin_usd_rub_rate_pastcov_lag-14,0.0,3963.308988571167,676.3699951171875,1084.8049926757812,1405.439344406128,3963.5433101654053,4063.413140296936,2165.268538747515
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-14,11.560099601745605,357.3938903808594,4624.851776123047,4273.522292137146,4071.143543243408,0.0,49.94471836090088,1912.630902835301
rolling_rsum14_14_act_total_daily_strike_events_pastcov_lag-1,3968.099639892578,278.7453804016113,256.56080055236816,7.447889804840088,34.43190002441406,0.0,0.0,649.3265158108303
ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-14,761.0749597549438,490.0884656906128,1233.338541984558,464.22278928756714,678.6160936355591,274.10366106033325,467.0611071586609,624.072231224605
region_statcov_target_act_drone_strike_on_ua_binary,676.0923776626587,273.56150245666504,827.0824303627014,770.9362287521362,355.4492783546448,657.2937948703766,698.4014101028442,608.4024317945753
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-7,1261.2225761413574,1142.3502082824707,220.7446994781494,190.8705940246582,799.5667972564697,436.69402408599854,76.94149780273438,589.7700567245483
ewm_ewma14_act_drone_infra_ua_residential_unintent_pastcov_lag-14,569.1649866104126,552.0521030426025,564.2320938110352,467.40213203430176,473.7713165283203,428.87238788604736,643.3793029785156,528.4106175558908
ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-7,208.25800132751465,116.75756931304932,522.0889616012573,585.7775883674622,489.8240056037903,1015.9223079681396,589.456353187561,504.0121124812535
ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-14,792.5869092941284,302.4396119117737,680.9289054870605,757.8507118225098,289.57916021347046,392.397385597229,104.53059959411621,474.3304691314697
ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,714.9490451812744,406.41256284713745,316.0100898742676,215.67512893676758,340.8668375015259,753.9978866577148,269.460973739624,431.0532178197588
ewm_ewma14_act_drone_infra_ua_health_intent_pastcov_lag-14,143.7885913848877,499.57933807373047,461.4793119430542,286.8863990306854,628.4634385108948,281.4816212654114,609.614550113678,415.8990357603346
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-14,1082.0505113601685,671.4612574577332,260.8846378326416,213.08617496490479,251.83493661880493,177.97224807739258,131.37697982788086,398.380963734218
act_drone_strike_on_ua_binary_target_lag-7,1667.0030136108398,112.67179870605469,39.292540550231934,283.557505607605,439.0379009246826,170.71629905700684,25.394800186157227,391.0962655203683
ewm_ewma14_act_drone_strike_on_rus_in_rus_nofpv_pastcov_lag-14,455.65650939941406,1291.528904914856,727.7373914718628,166.36500549316406,17.489599227905273,26.359789848327637,0.0,383.5910286222185
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-1,161.22943830490112,94.84380054473877,304.65270709991455,258.63488721847534,222.00809574127197,663.828447341919,813.3741035461426,359.79592568533764
ewm_expdecay7_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,967.4789237976074,127.6682915687561,416.54787588119507,371.1048974990845,173.12830305099487,257.4235248565674,152.23894929885864,352.2272522790091
act_drone_strike_on_ua_binary_target_lag-5,0.0,28.134380340576172,1638.5498571395874,147.840802192688,14.31659984588623,184.9119324684143,436.85542488098145,350.0869995525905
rolling_rmean28_28_dist_x_clash_pastcov_lag-14,404.3055772781372,477.8073801994324,353.86660385131836,180.3501467704773,129.699387550354,325.26711988449097,498.8054904937744,338.5859580039978
ewm_expdecay7_acled_other_ua_disrupted_weapons_use_pastcov_lag-7,394.52487897872925,413.1652092933655,95.76174926757812,252.83269882202148,242.34167957305908,205.97381114959717,747.9983906745911,336.08548825127735
ewm_expdecay7_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,291.02115058898926,375.4279670715332,453.50926303863525,467.46845984458923,130.49875259399414,279.45206212997437,345.759334564209,334.73385569027494
act_drone_strike_on_ua_binary_target_lag-6,103.92657279968262,1517.7179527282715,58.02840042114258,29.849101066589355,180.88418197631836,364.10082721710205,77.87469863891602,333.19739069257463
env_weather_wind_direction_10m_dominant_futcov_lag6,123.0070390701294,557.8192324638367,399.0264377593994,206.73366022109985,195.24041080474854,362.87017583847046,484.776171207428,332.7818753378732
ewm_expdecay7_dist_to_nearest_contested_km_pastcov_lag-1,598.1070175170898,763.7425003051758,256.73161458969116,303.1388053894043,355.33170557022095,21.625900268554688,20.566699981689453,331.32060623168945
env_weather_wind_direction_10m_dominant_futcov_lag-1,465.2123064994812,400.4674081802368,285.7068090438843,436.9286413192749,272.1047930717468,260.0611982345581,182.0334334373474,328.93065568378995
env_weather_wind_gusts_10m_max_futcov_lag0,614.9508275985718,224.74537181854248,376.6358411312103,96.88240957260132,496.1754026412964,292.8210906982422,179.29401063919067,325.9292791570936
env_weather_wind_gusts_10m_max_futcov_lag2,195.38345909118652,478.09557247161865,465.4305577278137,183.22226810455322,450.914617061615,145.00550079345703,336.4118309020996,322.0662580217634
ewm_ewma14_dist_to_nearest_contested_km_pastcov_lag-14,431.40612173080444,338.05902552604675,409.9302978515625,347.76988887786865,293.8279938697815,163.10919189453125,207.04650115966797,313.0212887014662
act_drone_strike_on_ua_binary_target_lag-1,445.0467314720154,0.0,158.27762031555176,42.09470081329346,0.0,34.38529968261719,1483.2513527870178,309.00795786721363
env_weather_wind_gusts_10m_max_futcov_lag6,180.76420211791992,544.0737607479095,205.8036003112793,108.83549976348877,216.90509366989136,274.406129360199,631.5929641723633,308.911607163293
env_weather_wind_gusts_10m_max_futcov_lag5,494.7259769439697,295.78474473953247,5.37175989151001,235.03689765930176,127.05325984954834,276.20850133895874,725.2964034080505,308.4967919758388
ewm_expdecay7_acled_other_ua_disrupted_weapons_use_pastcov_lag-14,233.14863204956055,727.9370136260986,159.91018199920654,198.52634191513062,290.41114616394043,150.80511808395386,342.13082933425903,300.4098947388785
ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-7,23.752599716186523,435.906005859375,13.105799674987793,30.755199432373047,322.5939607620239,760.4283971786499,503.7633671760559,298.615047114236
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-1,95.95186805725098,71.76688003540039,222.51800441741943,51.034698486328125,29.205880165100098,838.8999862670898,778.4898052215576,298.2667318071638
rolling_rsum7_7_dist_to_nearest_ru_km_pastcov_lag-14,0.0,21.81220054626465,37.56730079650879,139.54479598999023,1283.8369798660278,600.2899780273438,0.0,297.57875074659074
act_drone_strike_on_ua_binary_target_lag-2,101.91999816894531,255.2562484741211,59.2248010635376,8.394220352172852,18.00058937072754,1611.8183994293213,22.89760971069336,296.7874095099313
ewm_expdecay7_com_aid_financial_pastcov_lag-7,829.1286087036133,444.83220863342285,179.84620094299316,44.944801330566406,192.44330215454102,31.43410015106201,339.0913953781128,294.53151675633023
env_weather_wind_direction_10m_dominant_futcov_lag3,315.10191011428833,217.0951225757599,275.52452063560486,416.230908870697,440.4271020889282,222.8000020980835,154.0640983581543,291.60623782021656
env_weather_wind_direction_10m_dominant_futcov_lag1,111.3367190361023,214.6257700920105,287.0858488082886,38.28716039657593,287.4740500450134,425.1797571182251,651.4494519233704,287.9198224885123
act_drone_strike_on_ua_binary_target_lag-3,285.27509689331055,73.68980884552002,21.76859951019287,48.73196840286255,1445.8954496383667,72.44750213623047,21.504899978637695,281.3304750578744
ewm_ewma14_act_drone_infra_ua_health_intent_pastcov_lag-1,561.9389119148254,72.2416181564331,224.95565795898438,436.42918586730957,134.44589614868164,365.02938079833984,161.03869915008545,279.4399071420942
env_weather_wind_direction_10m_dominant_futcov_lag0,263.2814998626709,562.1562657356262,118.99765205383301,207.7460584640503,130.6103491783142,223.78779935836792,448.07275581359863,279.2360543523516
env_weather_wind_direction_10m_dominant_futcov_lag2,232.22917985916138,304.51978969573975,138.4056887626648,256.7143111228943,159.91364097595215,498.7229642868042,307.3487524986267,271.12204674312045
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-7,284.920223236084,342.9797992706299,61.735570430755615,389.0743942260742,224.2194242477417,252.9213514328003,336.31090354919434,270.3088094847543
env_weather_wind_gusts_10m_max_futcov_lag1,376.4513807296753,523.8564004898071,304.89894247055054,194.1368908882141,236.3306860923767,152.69155979156494,91.39857006072998,268.53777578898837
env_weather_wind_direction_10m_dominant_futcov_lag-2,297.6949186325073,181.55345916748047,350.87751960754395,221.9556097984314,271.2705121040344,240.32142305374146,309.01179695129395,267.52646275929044
env_weather_wind_speed_10m_mean_futcov_lag0,369.97819328308105,338.1310873031616,377.72449350357056,146.75978088378906,120.64771938323975,345.82966804504395,142.28732347488403,263.0511808395386
env_weather_wind_speed_10m_mean_futcov_lag5,489.54806995391846,256.9579920768738,195.25092935562134,206.75215005874634,300.15037202835083,271.52207136154175,113.34825849533081,261.9328347614833
act_drone_strike_on_ua_binary_target_lag-4,43.05247974395752,0.0,34.93040084838867,1526.7883014678955,29.642279624938965,23.81290054321289,167.54040336608887,260.82382365635465
env_weather_wind_gusts_10m_max_futcov_lag-1,296.50034952163696,107.47146034240723,170.05673217773438,558.86900806427,90.61526775360107,495.98297595977783,100.34879064559937,259.9777977807181
ewm_expdecay7_total_ru_area_km2_pastcov_lag-1,1152.5853004455566,22.539400100708008,74.19669914245605,171.4891014099121,56.37040042877197,312.4173984527588,15.847700119018555,257.92085715702603
env_weather_wind_gusts_10m_mean_futcov_lag5,196.58679819107056,329.76387786865234,221.62727737426758,87.59629821777344,127.4444088935852,489.8023133277893,338.26541471481323,255.8694840839931
ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,135.8854398727417,271.0266170501709,179.96065139770508,148.89650011062622,611.3672533035278,266.0264320373535,160.00439071655273,253.30961206981115
env_weather_wind_gusts_10m_max_futcov_lag-2,183.3037097454071,440.86401176452637,587.3817887306213,116.27768135070801,173.41659545898438,106.53401899337769,163.73036241531372,253.07259549413408
env_weather_wind_direction_10m_dominant_futcov_lag4,407.5061149597168,293.49087047576904,129.9648494720459,282.91433930397034,215.2765097618103,168.4116506576538,272.8968300819397,252.92302353041512
env_weather_wind_speed_10m_max_futcov_lag5,360.1369938850403,431.24060821533203,191.42477321624756,216.40143251419067,190.4037208557129,241.7813491821289,138.73786115646362,252.87524843215942
env_weather_wind_speed_10m_max_futcov_lag-2,109.72539901733398,172.5947289466858,624.73006772995,236.58316230773926,218.77670097351074,101.18741989135742,292.1534686088562,250.8215639250619
total_ru_area_km2_pastcov_lag-7,22.996999740600586,1073.1017990112305,97.61150360107422,116.3479995727539,131.92300415039062,139.52099609375,148.0625,247.08068602425712
