number,value,params_fine_tune_lr,params_fine_tune_steps,state
0,1.1450909643984166,5.611516415334504e-06,2900,COMPLETE
1,1.1230735675566046,2.9106359131330718e-05,1900,COMPLETE
2,1.1568359651435542,2.05133826308745e-06,600,COMPLETE
3,1.1517584223729747,1.306673923805328e-06,2700,COMPLETE
4,1.1459010144945296,1.5930522616241016e-05,2200,COMPLETE
5,1.1544759944510548,1.0994335574766194e-06,3000,COMPLETE
6,1.147895670296822,4.6225890010208326e-05,800,COMPLETE
7,1.162637882365545,2.310201887845294e-06,700,COMPLETE
8,1.154472055707157,4.0596116104843085e-06,1700,COMPLETE
9,1.150851873783174,7.30953983591291e-06,1000,COMPLETE
10,1.1009486182930974,8.721349828452045e-05,1500,COMPLETE
11,1.1104940871358269,8.691089486124968e-05,1600,COMPLETE
