region,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,0.09541669368211712,0.308541335159466,0.00021887291222810745,-0.09501907190618415,0.9047619047619048,168,3.2012300730350294,1.7871442854709938
chernihiv,1.8151495084166527,2.392097245725521,1.4058358669281006,-0.4644121105472247,0.8035714285714286,168,6.583596325122022,3.3753991808544814
dnipropetrovsk,1.605841155563082,2.051097328512188,1.2776052951812744,-0.23031135577531087,0.7083333333333334,168,2.1337018126392637,1.5566270260510815
donetsk,0.43181840880286126,1.3869466430187916,0.005718216300010681,-0.42263935479734627,0.7619047619047619,168,2.178572573734736,1.7764760622384963
ivano-frankivsk,0.0300533642432475,0.20409449957012551,0.00030404841527342796,-0.029458956585066125,0.9761904761904762,168,2.016580740721907,1.6718317185188631
kharkiv,1.1455096857888358,1.528648463746778,0.9617710113525391,0.019090195319482257,0.7321428571428571,168,3.9825751252036725,2.282367825646192
kherson,1.1552948419536864,1.4029849885468666,1.0332326889038086,0.01012004982857477,0.8571428571428571,168,1.7303634798011684,1.1058657473257256
khmelnytskyi,0.05392143611485759,0.23137775090819673,0.0004334729164838791,-0.05318544399259346,0.9464285714285714,168,0.861459134120701,0.815616448141801
kirovohrad,0.035977407569243086,0.18893385610358812,0.00029375404119491577,-0.03543278494007176,0.9642857142857143,168,1.005868353290088,0.9248941508942865
kyiv,0.421830458411326,0.9298723119380429,0.02523326873779297,-0.3721893543067078,0.7083333333333334,168,3.2912585766744153,1.993462858530179
luhansk,0.01817729179969146,0.1335847955560314,0.00031957030296325684,-0.017524622319754036,0.9821428571428571,168,1.016413566466081,0.8650840382628311
lviv,0.01821223263894873,0.13358614764613733,0.0003817398101091385,-0.017489990541001872,0.9821428571428571,168,0.40734693669115324,0.5102038953801532
mykolaiv,0.23949603505787395,0.6066484717393451,0.001603744924068451,-0.23587759025394917,0.8154761904761905,168,1.2653688151482947,1.2017117642581034
odesa,0.15577357457507224,0.4493339083595994,0.000966683030128479,-0.153354034359966,0.8690476190476191,168,0.6615447375941359,0.8400010694634478
poltava,0.04816965774322549,0.24387032260877814,0.0005355868488550186,-0.04701679450504127,0.9583333333333334,168,0.6337615754059668,0.8845759445032726
rivne,0.024060958223084787,0.15426704550107964,0.00025067152455449104,-0.023546806456232888,0.9761904761904762,168,2.0181128709612364,1.1535695908368218
sumy,4.343078818349611,6.229414159453399,2.970590114593506,-1.2484033285152345,0.9523809523809523,168,4.053137534231696,2.9005351919206133
vinnytsia,0.03016743155950237,0.17246360083362414,0.0004435935989022255,-0.029337951991086204,0.9702380952380952,168,0.749716539867633,0.802375875517511
zaporizhia,2.4695889861101197,3.3975124142034083,1.759667158126831,-0.17210540210916883,0.6964285714285714,168,2.0085990420362307,1.3610755377291535
zhytomyr,0.06579571942399655,0.3180354916688507,0.0004065493121743202,-0.0651158791567598,0.9464285714285714,168,1.3796539916719277,1.3025873399494459
