region,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,0.09564204007897172,0.30845341517383795,0.0005424385890364647,-0.0947392478507633,0.9047619047619048,168,3.2087904446495013,1.7866350321490274
chernihiv,1.7956661700847603,2.4577781649103745,1.2868071794509888,-0.7793196253478527,0.8095238095238095,168,6.512929730415537,3.468079075541239
dnipropetrovsk,1.6488134731494246,2.13835033358105,1.0763005018234253,-0.5816538356954143,0.7023809523809523,168,2.1907996841252753,1.6228454272484947
donetsk,0.4326044989838487,1.3861783118960196,0.008774369955062866,-0.4205760608116786,0.7619047619047619,168,2.182538487354605,1.7754919422982323
ivano-frankivsk,0.030036507634490374,0.2040884758095106,0.0001531466841697693,-0.02947229505073102,0.9761904761904762,168,2.015449662274304,1.671782375130962
kharkiv,1.1727812550961971,1.5482741441015517,0.9925356507301331,-0.16721827093334424,0.6666666666666666,168,4.077389752173825,2.3116701946737725
kherson,1.2132500999030613,1.4704781160376512,1.0378049612045288,-0.19254660748300098,0.8273809523809523,168,1.8171670023101654,1.1590654169453223
khmelnytskyi,0.05420468208779182,0.2313101903449697,0.0006964486092329025,-0.05287059101586541,0.9464285714285714,168,0.8659843257359121,0.8153782942726524
kirovohrad,0.03602302911513973,0.1889382140975351,0.0002770964056253433,-0.035388751809174814,0.9642857142857143,168,1.0071438556774484,0.9249154847261065
kyiv,0.41043754219121875,0.9387572244446237,0.01315225288271904,-0.3919982679543041,0.7202380952380952,168,3.202367335003579,2.0125103587684046
luhansk,0.01805632665387488,0.13360507769721983,0.00013289786875247955,-0.017651037116246743,0.9821428571428571,168,1.0096495987291703,0.8652153837241979
lviv,0.018465764199693997,0.13354778330455525,0.0006421897560358047,-0.017225955169470536,0.9821428571428571,168,0.41301759259982235,0.5100573709323436
mykolaiv,0.24024596105196647,0.6060676645772931,0.0036988407373428345,-0.2346230061015203,0.8154761904761905,168,1.2693310225659016,1.20056124162116
odesa,0.1566327792547998,0.4489924632370209,0.002580210566520691,-0.15221830138138362,0.8690476190476191,168,0.6651936384808269,0.8393627595945663
poltava,0.04844273389538839,0.24382759250311303,0.0008430257439613342,-0.04672815972229555,0.9583333333333334,168,0.6373544008589336,0.8844209521976362
rivne,0.02401227964687028,0.15428174958037263,0.00022566434927284718,-0.02360003643913106,0.9761904761904762,168,2.0140299553812446,1.153679544188677
sumy,4.347566281046186,6.277187221264877,3.0651882886886597,-1.5126898544175285,0.9523809523809523,168,4.057325416664799,2.9227792494616756
vinnytsia,0.030158167239278555,0.17244965013823974,0.00040189363062381744,-0.02934237789096577,0.9702380952380952,168,0.7494863043539226,0.8023109707992456
zaporizhia,2.511058419942856,3.2893391237454392,2.1208964586257935,-0.5671852607102621,0.6785714285714286,168,2.042327514886856,1.3177402966679275
zhytomyr,0.06589227908157877,0.31798130227941585,0.0005158530548214912,-0.06499984175232905,0.9464285714285714,168,1.381678726991855,1.302365394869458
