region,horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,1,0.041666666666666664,0.2041241452319315,0.0,-0.041666666666666664,0.9583333333333334,24,1.3979166666666667,1.1823352598424302
cherkasy,2,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,5.591666666666667,2.3646705196848603
cherkasy,3,0.3333333333333333,0.5773502691896257,0.0,0.0,0.6666666666666666,24,11.183333333333334,3.344149119482164
cherkasy,4,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,2.7958333333333334,1.672074559741082
cherkasy,5,0.4166666666666667,0.6454972243679028,0.0,0.0,0.5833333333333334,24,13.979166666666668,3.7388723790290928
cherkasy,6,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
cherkasy,7,0.16666666666666666,0.408248290463863,0.0,0.0,0.8333333333333334,24,5.591666666666667,2.3646705196848603
chernihiv,1,2.4583333333333335,2.806243040080456,2.0,-0.041666666666666664,0.7083333333333334,24,8.916441441441442,3.9597848606247834
chernihiv,2,3.3333333333333335,4.349329450233296,2.5,-0.4166666666666667,0.875,24,12.090090090090092,6.137176525668833
chernihiv,3,2.75,3.5,2.0,-0.16666666666666666,0.7916666666666666,24,9.974324324324325,4.938719424597448
chernihiv,4,2.7083333333333335,3.272358986011977,2.5,0.041666666666666664,0.6666666666666666,24,9.823198198198199,4.61750368242096
chernihiv,5,1.9166666666666667,2.29128784747792,2.0,-0.08333333333333333,0.625,24,6.951801801801802,3.2331507999095077
chernihiv,6,3.0833333333333335,3.947573094109004,3.0,-0.25,0.6666666666666666,24,11.183333333333335,5.5702731199698245
chernihiv,7,1.6666666666666667,2.160246899469287,1.5,0.08333333333333333,0.6666666666666666,24,6.045045045045046,3.048243806952965
dnipropetrovsk,1,2.5,3.1091263510296048,2.0,-0.08333333333333333,0.625,24,3.321782178217822,2.3595906630773547
dnipropetrovsk,2,2.9583333333333335,3.38501600193165,3.0,0.125,0.5833333333333334,24,3.930775577557756,2.5689699454897785
dnipropetrovsk,3,2.0,2.565800719723442,2.0,-0.08333333333333333,0.7916666666666666,24,2.6574257425742576,1.947247791834415
