region,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
cherkasy,0.17261904761904762,0.4154744849194083,0.0,-0.005952380952380952,0.8273809523809523,168,5.791369047619048,2.4065263446758793
chernihiv,2.5595238095238093,3.278719262151,2.0,-0.11904761904761904,0.7142857142857143,168,9.283462033462033,4.626478430796273
dnipropetrovsk,1.9821428571428572,2.649123844378957,2.0,0.017857142857142856,0.6904761904761905,168,2.6336987270155587,2.010483712397912
donetsk,0.6428571428571429,1.742330131092924,0.0,0.0,0.6785714285714286,168,3.243286788399571,2.2316704005761125
ivano-frankivsk,0.05952380952380952,0.28867513459481287,0.0,0.0,0.9523809523809523,168,3.9940476190476186,2.36467051968486
kharkiv,1.3392857142857142,1.8500321747523871,1.0,-0.07738095238095238,0.6488095238095238,168,4.656273131014063,2.7622138197265445
kherson,1.4821428571428572,1.8500321747523871,1.0,-0.06547619047619048,0.7440476190476191,168,2.2199059311224487,1.4582388480351465
khmelnytskyi,0.10714285714285714,0.32732683535398854,0.0,0.0,0.8928571428571429,168,1.7117346938775508,1.1538410663298504
kirovohrad,0.07142857142857142,0.2672612419124244,0.0,0.0,0.9285714285714286,168,1.9970238095238093,1.3083327917153003
kyiv,0.6547619047619048,1.2488089563755578,0.0,0.0,0.5952380952380952,168,5.108665559246954,2.6772001273443453
luhansk,0.03571428571428571,0.1889822365046136,0.0,0.0,0.9642857142857143,168,1.9970238095238093,1.2238332636200313
lviv,0.03571428571428571,0.1889822365046136,0.0,0.0,0.9642857142857143,168,0.7988095238095237,0.7217774815822773
mykolaiv,0.38095238095238093,0.7559289460184544,0.0,0.011904761904761904,0.7142857142857143,168,2.0127484064491936,1.4974219003125022
odesa,0.23214285714285715,0.5400617248673217,0.0,-0.005952380952380952,0.8035714285714286,168,0.985872513562387,1.0096109330386192
poltava,0.09523809523809523,0.3450327796711771,0.0,0.0,0.9166666666666666,168,1.2530345471521942,1.2515163538445044
rivne,0.047619047619047616,0.21821789023599236,0.0,0.0,0.9523809523809523,168,3.9940476190476186,1.6317776848267083
sumy,5.148809523809524,7.1310020667638625,4.0,-0.31547619047619047,0.9166666666666666,168,4.805078150870918,3.320331883363187
vinnytsia,0.06547619047619048,0.2558831578595795,0.0,0.005952380952380952,0.9345238095238095,168,1.6272045855379191,1.1904800307157724
zaporizhia,2.5595238095238093,3.7496031536049,2.0,0.011904761904761904,0.7083333333333334,168,2.0817460317460315,1.5021264108494214
zhytomyr,0.1130952380952381,0.4295623464921123,0.0,-0.005952380952380952,0.9107142857142857,168,2.3714657738095237,1.7593711674237205
