Feature,h1_importance,h2_importance,h3_importance,h4_importance,h5_importance,h6_importance,h7_importance,mean_importance
Activity_Level_statcov_target_act_drone_strike_on_ua_binary,0.3003173250539253,0.2957280763058547,0.30014259040379004,0.29362524286421043,0.29112927250083076,0.28933378493129075,0.29099894161405104,0.2944678905248504
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-7,0.019566383557295147,0.023945234837710282,0.014267621392989167,0.017715059045289958,0.01148570909255444,0.013784455914238538,0.011255462530352582,0.016002846624347155
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-14,0.019083923764520158,0.016428658351887476,0.017048588398866665,0.020899801478031582,0.014044856782809024,0.012175855654910295,0.00938525825734457,0.015580991812624252
ewm_ewma14_act_drone_infra_ua_residential_intent_pastcov_lag-1,0.005789752050156797,0.00358846239522701,0.007604868091828354,0.00670068338667974,0.017342029769962967,0.02466039883423388,0.01652140976249199,0.011743943470082962
ewm_ewma14_act_drone_strike_on_rus_in_rus_nofpv_pastcov_lag-14,0.007406865348328247,0.011038241224211012,0.013082497129681752,0.01450976719860095,0.015338393147473066,0.004630822076162969,0.007285260673626444,0.010470263828297776
rolling_rmean28_28_fin_usd_rub_rate_pastcov_lag-14,0.006393845172371955,0.008283221502637638,0.01057525954243105,0.0162625696718207,0.013290843799818746,0.007951988034662717,0.007235387496746222,0.00999901646006986
ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,0.010755350909555157,0.01004932603418288,0.0062527740361250075,0.015298498888062497,0.007076218390782092,0.007965026807563341,0.011154312429071903,0.009793072499334697
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-1,0.0024705492156066947,0.0038308003154028858,0.003037533536904631,0.008429674034919335,0.009806210023741746,0.01944118627345404,0.020704247694557806,0.009674314442083876
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-14,0.005413001243201289,0.0062903332281764,0.013607366882867929,0.016809877491373523,0.011387879206911249,0.007300395239838392,0.005926289562308325,0.009533591836382443
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-7,0.027088489373872638,0.010865110644109539,0.007573576343050431,0.002336853949064028,0.004249064953798214,0.006064005246671081,0.007185276678744834,0.009337482455615822
ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-14,0.006418698028442089,0.008918856566367452,0.008259132656844491,0.005755459540994561,0.015297507147176584,0.007614251508791828,0.01136730316462557,0.009090172659034654
ewm_expdecay7_dist_to_nearest_contested_km_pastcov_lag-1,0.006968047916687791,0.013186592848383936,0.00844759085414758,0.013393706758749744,0.009282195807730643,0.005059006676810739,0.005127156557954295,0.008780613917209247
ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-14,0.006350836058775355,0.007722478790316083,0.008404100026256089,0.00996652344576,0.00939861646976884,0.009886860206876907,0.006830415472840293,0.008365690067227653
region_statcov_target_act_drone_strike_on_ua_binary,0.009140996906035065,0.007076486293007456,0.007933381572848217,0.006165142550653001,0.006364045073816243,0.006791154325472764,0.007973533987225404,0.007349248672722593
ewm_ewma14_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,0.011749269423897748,0.011208140562866365,0.006016739831127859,0.0036215758858511387,0.007359339760809944,0.005224731436034966,0.006232075915145907,0.007344553259390561
ewm_ewma14_act_total_daily_strike_events_pastcov_lag-14,0.009607294013211518,0.005344525240060501,0.007468194434339734,0.0027195372293551522,0.007871847516940972,0.008259064016087331,0.008711919129567992,0.007140340225651886
rolling_rsum7_7_act_total_daily_strike_events_pastcov_lag-1,0.003726762505022862,0.00263848359746268,0.008618599891640518,0.009775963256680571,0.006322135779265584,0.008587443434650111,0.009220424011760556,0.0069842589252118404
ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-7,0.0036539441325841595,0.005288105555709049,0.004940642282333292,0.007614781327083859,0.00669891130197091,0.008650456487567215,0.010538671149827579,0.006769358891010866
ewm_expdecay7_acled_other_ua_disrupted_weapons_use_pastcov_lag-1,0.005036666843770205,0.006648522039501765,0.005664842531148535,0.004086183367778883,0.004841796552550181,0.007884108936501832,0.0069722474182760605,0.005876338241361066
rolling_rmean28_28_act_total_daily_strike_events_pastcov_lag-7,0.004639556130672818,0.008585112009958696,0.005349807652883986,0.006124972937047565,0.004320753141572181,0.0056038225453995194,0.006315640867360884,0.0058485236121279495
ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-7,0.008229546483050663,0.005931797284177035,0.007463265101129213,0.004480220187735786,0.003603074096220488,0.004726388703513879,0.005385622401516516,0.0056885591796205105
rolling_rsum14_14_act_total_daily_strike_events_pastcov_lag-14,0.001704056450728451,0.0029373263173722575,0.0015687049172897441,0.0070100014636966974,0.008286077873560907,0.007877742284666643,0.009913677544041537,0.005613940978765177
ewm_ewma14_fin_usd_rub_rate_pastcov_lag-1,0.008818279698667573,0.003801726253536638,0.003995664303907678,0.00363623036044636,0.0026871658520330817,0.005461015879433745,0.010412803634579589,0.005544697997514952
act_drone_strike_on_ua_binary_target_lag-2,0.001980022408766284,0.005031042546558241,0.0005551271552388393,8.672883999414599e-05,0.0017715715872305676,0.023225823439302604,0.006090687894021463,0.005534429124444593
ewm_ewma14_act_drone_infra_ua_health_intent_pastcov_lag-1,0.006890709464854618,0.005028228479112803,0.007849990421578525,0.005489967857276795,0.0059599105743516675,0.003548289133604105,0.0033516563530078146,0.005445536040540904
act_drone_strike_on_ua_binary_target_lag-6,0.0013102320244512233,0.01815988649456239,0.003710002980715344,0.0013092449938601279,0.004288237069249214,0.004468332679579964,0.001300833689238377,0.00493525284737952
env_weather_wind_direction_10m_dominant_futcov_lag0,0.0049533224451596474,0.0042033220653207625,0.006176535849924693,0.0030826733360182646,0.004428646855940903,0.004455457967016879,0.006573363295077794,0.004839045973494134
ewm_ewma14_acled_other_rus_armed_clash_pastcov_lag-1,0.004906593914962579,0.002379334401642773,0.005590126723527053,0.0073365425296456534,0.0028880366912477588,0.007304893477997778,0.0031586959768586565,0.004794889102268893
ewm_expdecay7_com_restrictive_redsecondary_bluesecondary_pastcov_lag-14,0.001767728118622,0.0053405545011476,0.007710956330232099,0.004256856401845833,0.004513310084991281,0.003917530151671373,0.005402584103096564,0.004701359955943821
act_drone_strike_on_ua_binary_target_lag-3,0.005137599752150042,0.0015415854678021256,0.0,0.0012429711006778968,0.01464191711971812,0.009821007298562019,0.0004770691578120103,0.004694592842388888
ewm_expdecay7_com_aid_humanitarian_pastcov_lag-1,0.004294980101673948,0.0036267602949611377,0.007325315151982686,0.0024995207980514325,0.00552881360418209,0.004438886415475294,0.005064084179908889,0.004682622935176497
