F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region
0.9768732654949122,0.9565217391304348,0.998109640831758,0.5408002520478892,0.963312602954175,0.0744851693988822,528,24,0,1,553,sumy
0.7669683257918553,0.6408317580340265,0.9549295774647887,0.5337459098022478,0.6683864617901353,0.2317324540232738,339,190,8,16,553,dnipropetrovsk
0.6072507552870091,0.536,0.7003484320557491,0.5409342170757905,0.5678019596405705,0.25022158419239965,201,174,92,86,553,kherson
0.5914149443561209,0.5688073394495413,0.6158940397350994,0.5509485237856521,0.5989397785881678,0.2471096378080303,186,141,110,116,553,zaporizhia
0.4720194647201946,0.610062893081761,0.38492063492063494,0.6321520856404578,0.5625980817295342,0.2375909871059885,97,62,239,155,553,chernihiv
0.21774193548387097,0.3333333333333333,0.16167664670658682,0.5468648195836308,0.3487116998098272,0.22812894230611605,27,54,332,140,553,kharkiv
0.0,0.0,0.0,0.34125430994315537,0.05440088901030404,0.08458605738979501,0,0,511,42,553,donetsk
0.0,0.0,0.0,0.25798011512297225,0.009211705449932472,0.012623132667639862,0,0,546,7,553,cherkasy
0.0,0.0,0.0,0.3010734652801073,0.014526549182028364,0.020117819309574056,0,0,542,11,553,kirovohrad
0.0,0.0,0.0,0.45783027121609793,0.07320861049138627,0.07605702425604896,0,0,508,45,553,kyiv
0.0,0.0,0.0,0.29016221873364734,0.009756752470292434,0.012629098470667632,0,0,546,7,553,ivano-frankivsk
0.0,0.0,0.0,0.9063317634746206,0.0911641785976008,0.012233780848289931,0,0,546,7,553,khmelnytskyi
0.0,0.0,0.0,0.5172276702888948,0.03333509755306825,0.024924690293215486,0,0,539,14,553,lviv
0.0,0.0,0.0,,0.0,7.745923527118394e-05,0,0,553,0,553,luhansk
0.0,0.0,0.0,0.537984496124031,0.08707979005744737,0.07686803811755848,0,0,510,43,553,mykolaiv
0.0,0.0,0.0,0.5218403150733978,0.060613989676360336,0.053823572981738954,0,0,532,21,553,odesa
0.0,0.0,0.0,0.4824699110413396,0.014392653010103324,0.012568830709091008,0,0,546,7,553,rivne
0.0,0.0,0.0,0.4445659216067379,0.07575157863598066,0.08514878973959275,0,0,504,49,553,poltava
0.0,0.0,0.0,0.7073110285006197,0.06602016907873162,0.026174951595266033,0,0,538,15,553,vinnytsia
0.0,0.0,0.0,0.757250268528464,0.11242624199148113,0.0368379593800777,0,0,532,21,553,zhytomyr
