F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,horizon
0.0,0.0,0.0,0.7692307692307692,0.05263157894736842,0.012469238336536051,0,0,78,1,79,cherkasy,1
0.0,0.0,0.0,0.28205128205128205,0.017543859649122806,0.012599192943691143,0,0,78,1,79,cherkasy,2
0.0,0.0,0.0,0.10256410256410253,0.014084507042253521,0.012672009536125028,0,0,78,1,79,cherkasy,3
0.0,0.0,0.0,0.05128205128205132,0.013333333333333334,0.012702897993010862,0,0,78,1,79,cherkasy,4
0.0,0.0,0.0,0.21794871794871795,0.016129032258064516,0.012679069641775629,0,0,78,1,79,cherkasy,5
0.0,0.0,0.0,0.16666666666666663,0.015151515151515152,0.012609685176921882,0,0,78,1,79,cherkasy,6
0.0,0.0,0.0,0.3205128205128205,0.018518518518518517,0.012629835045418428,0,0,78,1,79,cherkasy,7
0.34615384615384615,0.5625,0.25,0.6582687338501292,0.5599140679207621,0.2373582439428177,9,7,36,27,79,chernihiv,1
0.49122807017543857,0.6666666666666666,0.3888888888888889,0.6996124031007752,0.6481798750384027,0.22457623901853666,14,7,36,22,79,chernihiv,2
0.4666666666666667,0.5833333333333334,0.3888888888888889,0.6201550387596898,0.5700220674289663,0.2377454743788716,14,10,33,22,79,chernihiv,3
0.4,0.5,0.3333333333333333,0.6020671834625323,0.5709020366974281,0.24406958020574715,12,12,31,24,79,chernihiv,4
0.5333333333333333,0.6666666666666666,0.4444444444444444,0.6253229974160207,0.5800391314837469,0.24165522440923176,16,8,35,20,79,chernihiv,5
0.5245901639344263,0.64,0.4444444444444444,0.6208010335917312,0.5868778870757813,0.23946337288800595,16,9,34,20,79,chernihiv,6
0.5245901639344263,0.64,0.4444444444444444,0.6369509043927649,0.5830917204882445,0.23826877489870898,16,9,34,20,79,chernihiv,7
0.7559055118110236,0.6233766233766234,0.96,0.5751724137931035,0.7125603863282591,0.22916033940604844,48,29,0,2,79,dnipropetrovsk,1
0.7642276422764228,0.6438356164383562,0.94,0.5420689655172414,0.7088058994187935,0.23137620569066558,47,26,3,3,79,dnipropetrovsk,2
0.7716535433070866,0.6363636363636364,0.98,0.5248275862068965,0.6766665359170182,0.2344397834154926,49,28,1,1,79,dnipropetrovsk,3
0.7716535433070866,0.6447368421052632,0.9607843137254902,0.59593837535014,0.6832402305256942,0.22775692349388435,49,27,1,2,79,dnipropetrovsk,4
0.78125,0.6493506493506493,0.9803921568627451,0.5266106442577031,0.6533990215000646,0.23037165367938064,50,27,1,1,79,dnipropetrovsk,5
0.768,0.6575342465753424,0.9230769230769231,0.534900284900285,0.7021286892257698,0.2285442980231803,48,25,2,4,79,dnipropetrovsk,6
0.7559055118110236,0.631578947368421,0.9411764705882353,0.44887955182072825,0.6563634899971319,0.2404779744542648,48,28,0,3,79,dnipropetrovsk,7
0.0,0.0,0.0,0.3594594594594595,0.05696502324409301,0.07181597665152763,0,0,74,5,79,donetsk,1
0.0,0.0,0.0,0.28648648648648645,0.05086499194485032,0.0754460889491769,0,0,74,5,79,donetsk,2
0.0,0.0,0.0,0.3054054054054054,0.05219255243041038,0.07745687975979958,0,0,74,5,79,donetsk,3
0.0,0.0,0.0,0.30365296803652964,0.06026564492282029,0.08572280547610946,0,0,73,6,79,donetsk,4
0.0,0.0,0.0,0.39880952380952384,0.07930992589896713,0.09469692667912752,0,0,72,7,79,donetsk,5
0.0,0.0,0.0,0.31547619047619047,0.06980994412948424,0.09579743204642283,0,0,72,7,79,donetsk,6
0.0,0.0,0.0,0.3888888888888889,0.08987774411206936,0.09116629216640118,0,0,72,7,79,donetsk,7
0.0,0.0,0.0,0.08974358974358976,0.013888888888888888,0.01264576627596722,0,0,78,1,79,ivano-frankivsk,1
0.0,0.0,0.0,0.05128205128205132,0.013333333333333334,0.012666784918922225,0,0,78,1,79,ivano-frankivsk,2
0.0,0.0,0.0,0.14102564102564108,0.014705882352941176,0.012629230287601373,0,0,78,1,79,ivano-frankivsk,3
0.0,0.0,0.0,0.16666666666666663,0.015151515151515152,0.012696048554486486,0,0,78,1,79,ivano-frankivsk,4
0.0,0.0,0.0,0.641025641025641,0.034482758620689655,0.012528668046239526,0,0,78,1,79,ivano-frankivsk,5
0.0,0.0,0.0,0.21794871794871795,0.016129032258064516,0.012724909829001638,0,0,78,1,79,ivano-frankivsk,6
0.0,0.0,0.0,0.6666666666666667,0.037037037037037035,0.012512281382454946,0,0,78,1,79,ivano-frankivsk,7
0.17647058823529413,0.3333333333333333,0.12,0.5555555555555556,0.33866089123549215,0.2295625099365185,3,6,48,22,79,kharkiv,1
0.17142857142857143,0.3,0.12,0.49703703703703705,0.3206826580924584,0.23580807033286125,3,7,47,22,79,kharkiv,2
0.12121212121212122,0.25,0.08,0.5207407407407407,0.38514530397705476,0.227573304957082,2,6,48,23,79,kharkiv,3
0.0,0.0,0.0,0.5386363636363636,0.3134213012055024,0.23006045492652064,0,7,48,24,79,kharkiv,4
0.41025641025641024,0.5,0.34782608695652173,0.6482919254658386,0.5243294089105895,0.21603348043797663,8,8,48,15,79,kharkiv,5
0.3181818181818182,0.3333333333333333,0.30434782608695654,0.5225155279503105,0.3270181633528914,0.23337476190706505,7,14,42,16,79,kharkiv,6
0.25,0.4,0.18181818181818182,0.5606060606060606,0.3482975788176212,0.22449001364478824,4,6,51,18,79,kharkiv,7
0.5714285714285714,0.5098039215686274,0.65,0.4788461538461538,0.5282079152330479,0.2590980682792007,26,25,14,14,79,kherson,1
0.45454545454545453,0.425531914893617,0.4878048780487805,0.4569961489088575,0.5416562874876353,0.2596180941266344,20,27,11,21,79,kherson,2
0.5934065934065934,0.54,0.6585365853658537,0.5641848523748396,0.6263331426669445,0.2450663667511149,27,23,15,14,79,kherson,3
0.6666666666666666,0.5689655172413793,0.8048780487804879,0.6161745827984596,0.6494685697102738,0.24284662242217975,33,25,13,8,79,kherson,4
0.6534653465346535,0.55,0.8048780487804879,0.540436456996149,0.5394520483578845,0.2520406825751173,33,27,11,8,79,kherson,5
0.5806451612903226,0.5192307692307693,0.6585365853658537,0.4967907573812581,0.549040113547586,0.25728825969207375,27,25,13,14,79,kherson,6
0.7070707070707071,0.6140350877192983,0.8333333333333334,0.6505791505791505,0.680878305742999,0.23559299550047655,35,22,15,7,79,kherson,7
0.0,0.0,0.0,0.8205128205128205,0.06666666666666667,0.012431657236793705,0,0,78,1,79,khmelnytskyi,1
0.0,0.0,0.0,0.8333333333333334,0.07142857142857142,0.012417443295345651,0,0,78,1,79,khmelnytskyi,2
0.0,0.0,0.0,0.9743589743589743,0.3333333333333333,0.012099193436258995,0,0,78,1,79,khmelnytskyi,3
0.0,0.0,0.0,0.9871794871794872,0.5,0.011955232503631515,0,0,78,1,79,khmelnytskyi,4
0.0,0.0,0.0,0.9615384615384616,0.25,0.012233491268870807,0,0,78,1,79,khmelnytskyi,5
0.0,0.0,0.0,0.8333333333333334,0.07142857142857142,0.012401088613563887,0,0,78,1,79,khmelnytskyi,6
0.0,0.0,0.0,0.9615384615384616,0.25,0.012098359583564951,0,0,78,1,79,khmelnytskyi,7
0.0,0.0,0.0,0.4415584415584416,0.04060150375939849,0.024969150686663732,0,0,77,2,79,kirovohrad,1
0.0,0.0,0.0,0.07142857142857145,0.020300751879699246,0.025779154667430273,0,0,77,2,79,kirovohrad,2
0.0,0.0,0.0,0.30519480519480524,0.026785714285714288,0.02554902740453615,0,0,77,2,79,kirovohrad,3
0.0,0.0,0.0,0.04545454545454547,0.019836328055506138,0.025634098522871143,0,0,77,2,79,kirovohrad,4
0.0,0.0,0.0,0.5897435897435898,0.030303030303030304,0.012995678828235373,0,0,78,1,79,kirovohrad,5
0.0,0.0,0.0,0.39743589743589747,0.020833333333333332,0.012897874631315236,0,0,78,1,79,kirovohrad,6
0.0,0.0,0.0,0.47435897435897434,0.023809523809523808,0.012999750425966461,0,0,78,1,79,kirovohrad,7
0.0,0.0,0.0,0.4748858447488585,0.09268537539731647,0.07103461581994533,0,0,73,6,79,kyiv,1
0.0,0.0,0.0,0.7031963470319635,0.18383097584995772,0.06873072342636638,0,0,73,6,79,kyiv,2
0.0,0.0,0.0,0.5045662100456622,0.09164577580479369,0.071370982608964,0,0,73,6,79,kyiv,3
0.0,0.0,0.0,0.4246575342465754,0.07293675627716376,0.07166990334653087,0,0,73,6,79,kyiv,4
0.0,0.0,0.0,0.2996031746031746,0.0682032262832304,0.08424939319127576,0,0,72,7,79,kyiv,5
0.0,0.0,0.0,0.4067460317460318,0.08037751751436847,0.08260764590150867,0,0,72,7,79,kyiv,6
0.0,0.0,0.0,0.39682539682539675,0.08474925266337587,0.08273590549775178,0,0,72,7,79,kyiv,7
0.0,0.0,0.0,,0.0,6.822610541254266e-05,0,0,79,0,79,luhansk,1
0.0,0.0,0.0,,0.0,6.671087557701266e-05,0,0,79,0,79,luhansk,2
0.0,0.0,0.0,,0.0,6.649144477798026e-05,0,0,79,0,79,luhansk,3
0.0,0.0,0.0,,0.0,8.045429437554185e-05,0,0,79,0,79,luhansk,4
0.0,0.0,0.0,,0.0,8.65601503025643e-05,0,0,79,0,79,luhansk,5
0.0,0.0,0.0,,0.0,7.562307738121918e-05,0,0,79,0,79,luhansk,6
0.0,0.0,0.0,,0.0,9.814869907142662e-05,0,0,79,0,79,luhansk,7
0.0,0.0,0.0,0.5064935064935066,0.060160427807486636,0.024958613405549085,0,0,77,2,79,lviv,1
0.0,0.0,0.0,0.577922077922078,0.04304029304029304,0.024975355709122335,0,0,77,2,79,lviv,2
0.0,0.0,0.0,0.4090909090909091,0.03582363747703613,0.025060891818173545,0,0,77,2,79,lviv,3
0.0,0.0,0.0,0.487012987012987,0.05295429208472687,0.02494658274115987,0,0,77,2,79,lviv,4
0.0,0.0,0.0,0.6363636363636364,0.5172413793103449,0.02474061163969343,0,0,77,2,79,lviv,5
0.0,0.0,0.0,0.5194805194805194,0.03970125786163522,0.025021337574210108,0,0,77,2,79,lviv,6
0.0,0.0,0.0,0.512987012987013,0.08551307847082494,0.024769439164599994,0,0,77,2,79,lviv,7
0.0,0.0,0.0,0.5525114155251142,0.19522430675564356,0.07407925673882353,0,0,73,6,79,mykolaiv,1
0.0,0.0,0.0,0.6027397260273972,0.13471344726189688,0.0732940371676677,0,0,73,6,79,mykolaiv,2
0.0,0.0,0.0,0.5365296803652968,0.11499820985115103,0.07485472765092474,0,0,73,6,79,mykolaiv,3
0.0,0.0,0.0,0.5525114155251142,0.09238650254868841,0.07993112675840643,0,0,73,6,79,mykolaiv,4
0.0,0.0,0.0,0.58675799086758,0.10568645348290964,0.07360394915558457,0,0,73,6,79,mykolaiv,5
0.0,0.0,0.0,0.45039682539682535,0.09164035425490952,0.0877757080171265,0,0,72,7,79,mykolaiv,6
0.0,0.0,0.0,0.4840182648401826,0.14722912378812603,0.07453746133437596,0,0,73,6,79,mykolaiv,7
0.0,0.0,0.0,0.5219298245614035,0.06837606837606838,0.05432190749079386,0,0,76,3,79,odesa,1
0.0,0.0,0.0,0.44298245614035087,0.10901139463970469,0.05379661658776181,0,0,76,3,79,odesa,2
0.0,0.0,0.0,0.6052631578947368,0.2018896447467876,0.053749801934819326,0,0,76,3,79,odesa,3
0.0,0.0,0.0,0.43859649122807015,0.13630672926447573,0.05238572477860093,0,0,76,3,79,odesa,4
0.0,0.0,0.0,0.49122807017543857,0.06623796471993815,0.0551098093130221,0,0,76,3,79,odesa,5
0.0,0.0,0.0,0.5526315789473684,0.08056022408963585,0.05653651770271819,0,0,76,3,79,odesa,6
0.0,0.0,0.0,0.6491228070175439,0.09690893901420217,0.05086463306445652,0,0,76,3,79,odesa,7
0.0,0.0,0.0,0.5476190476190476,0.11657186482767878,0.08464026414025243,0,0,72,7,79,poltava,1
