F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,paradigm
0.14473684210526316,0.11518324607329843,0.19469026548672566,0.5404044290539096,0.10804123418374875,0.16739989405610028,22,169,866,91,1148,cherkasy,activity
0.0,0.0,0.0,0.43223462015305036,0.09590352871955207,0.09349103443140257,0,0,1035,113,1148,cherkasy,global
0.043795620437956206,0.125,0.02654867256637168,0.5403488521226113,0.12196362221921046,0.10623159403094296,3,21,1014,110,1148,cherkasy,local
0.7672362993517973,0.8857142857142857,0.6767151767151767,0.5969530324369035,0.8594246071249506,0.22527262289842656,651,84,102,311,1148,chernihiv,activity
0.888671875,0.8379373848987108,0.9459459459459459,0.5380479735318444,0.8331513115044054,0.17492561938075685,910,176,10,52,1148,chernihiv,global
0.6008064516129032,0.8498098859315589,0.46465696465696466,0.5428486799454542,0.8541963736263913,0.2921791689071369,447,79,107,515,1148,chernihiv,local
0.6910344827586207,0.7743431221020093,0.6239103362391034,0.6470048910787445,0.7942315491623789,0.22942238772763232,501,146,199,302,1148,dnipropetrovsk,activity
0.8209513629075361,0.7191011235955056,0.9564134495641345,0.6270760012272818,0.7788890595858304,0.20802363857787695,768,300,45,35,1148,dnipropetrovsk,global
0.24066390041493776,0.7204968944099379,0.1444582814445828,0.5376143808544047,0.7262798957978329,0.3383710020109405,116,45,300,687,1148,dnipropetrovsk,local
0.2594594594594595,0.25263157894736843,0.26666666666666666,0.5193157850333249,0.245382150488994,0.22606248971168713,72,213,665,198,1148,donetsk,activity
0.0,0.0,0.0,0.5368092466042352,0.24251136830774603,0.1827185483029087,0,0,878,270,1148,donetsk,global
0.0392156862745098,0.16666666666666666,0.022222222222222223,0.5291107736438032,0.2462192143417777,0.1907951590984863,6,30,848,264,1148,donetsk,local
0.0,0.0,0.0,0.6383928571428571,0.04020961452182762,0.044112236899830994,0,6,1114,28,1148,ivano-frankivsk,activity
0.0,0.0,0.0,0.5509885204081633,0.028099946250582236,0.02399474715162217,0,0,1120,28,1148,ivano-frankivsk,global
