F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,horizon,paradigm
0.5423728813559322,0.5714285714285714,0.5161290322580645,0.7793257885476669,0.6018008393533254,0.16994237883705537,496,372,1947,465,3280,1,activity
0.7673555908850026,0.7818574514038877,0.7533818938605619,0.9046702375840172,0.8002371598565124,0.10690384287592011,724,202,2117,237,3280,1,global
0.5229681978798587,0.8149779735682819,0.3850156087408949,0.8381564051030285,0.6955475488357414,0.14972864536457434,370,84,2235,591,3280,1,local
0.6105726872246696,0.5298165137614679,0.7203742203742204,0.7982578715969572,0.6336948292601873,0.17392364771547553,693,615,1703,269,3280,2,activity
0.7525195968645016,0.8155339805825242,0.6985446985446986,0.9032124976904959,0.8002217180982035,0.10699210699929862,672,152,2166,290,3280,2,global
0.5614754098360656,0.8187250996015937,0.42723492723492723,0.8461650573384828,0.708379613667178,0.13965799758665798,411,91,2227,551,3280,2,local
0.5976779404341241,0.5826771653543307,0.6134715025906736,0.7991315927886391,0.6405940691614471,0.16137593941748624,592,424,1891,373,3280,3,activity
0.7183673469387755,0.8213333333333334,0.6383419689119171,0.9041235913562149,0.8088501619774113,0.1071650937029259,616,134,2181,349,3280,3,global
0.5923026744944553,0.7992957746478874,0.47046632124352333,0.8381192717017873,0.6995431816373957,0.13935325624189213,454,114,2201,511,3280,3,local
0.5993657505285412,0.6103336921420882,0.5887850467289719,0.8101951757540882,0.6385084333273962,0.15534834632605085,567,362,1955,396,3280,4,activity
0.7097944377267231,0.849493487698987,0.6095534787123572,0.9075291616302996,0.8023131551697253,0.10730631161577663,587,104,2213,376,3280,4,global
0.5542501727712509,0.8285123966942148,0.4164070612668744,0.8439707682303046,0.7077272391824554,0.1423577173014173,401,83,2234,562,3280,4,local
0.5874547647768396,0.6997126436781609,0.5062370062370062,0.8227430988431852,0.6804373568199755,0.1490520658292186,487,209,2109,475,3280,5,activity
0.709295441089402,0.8239339752407153,0.6226611226611226,0.9043759944320773,0.7928611337441743,0.10687361606024949,599,128,2190,363,3280,5,global
0.5954692556634305,0.7890222984562607,0.4781704781704782,0.8471940198644254,0.7140202797196817,0.13977550218015877,460,123,2195,502,3280,5,local
0.6043329532497149,0.6708860759493671,0.549792531120332,0.8207123098201936,0.6764409527860268,0.15054856613666118,530,260,2056,434,3280,6,activity
0.7734926670287887,0.8118586088939567,0.7385892116182573,0.9073852113029333,0.8057130907324704,0.1037073182188716,712,165,2151,252,3280,6,global
0.5907007203667322,0.8010657193605684,0.4678423236514523,0.8464094267552441,0.7113781182631166,0.137149111798796,451,112,2204,513,3280,6,local
0.5411334552102377,0.6626865671641791,0.4572605561277034,0.8132646220694645,0.665291037527202,0.15172926130825176,444,226,2083,527,3280,7,activity
0.7633756205184776,0.8218527315914489,0.7126673532440783,0.9077743518288486,0.8111489178637802,0.10428491221795039,692,150,2159,279,3280,7,global
0.5284090909090909,0.851258581235698,0.3831101956745623,0.845210765736011,0.7177496892791214,0.1431639762927911,372,65,2244,599,3280,7,local
